arm,defense_arm,seed,step,novelty_vector_count,h_n_latest,h_n_shape_latest,V,H_N,L_t,total_suppression,avg_wb,theta_capability,transfer_state,g,population,x_compute,x_bio_welfare,x_novelty_agency,x_institutional_capacity,x_transfer_comprehension,x_resilience,c_protective,c_suppressive,adapter_active,action_modified,adapter_score,resilience_stock,shape_fallback_increase
A3,LATCHED,1835088000,0,200,0.9741084717443328,0.9844589504180385,0.03625861460061288,0.9741084717443328,0.09284603360472923,0.4,0.6537736560980697,0.5149252728483715,0.5468060365609345,1.440401253888237,199,0.18656591060464459,0.18747958225504627,0.11048603548367456,0.13813139086145348,0.28403018280467257,0.09330689799050852,0.0,0.4,False,False,0.0,0.32718889715601357,2
A3,LATCHED,1835088000,1,199,0.9867437414249564,0.9877475118747934,0.05485816014390705,0.9867437414249564,0.11363112429427315,0.256,0.6702705371430951,0.5269266015299399,0.5868817212734564,1.339520643963811,199,0.15934490404983592,0.23092008782002624,0.05766378247777456,0.2273456173436644,0.27378144184307684,0.05094416646562216,0.4,0.2,False,False,0.0,0.33332277941285327,0
A3,LATCHED,1835088000,2,199,0.9870602522223137,0.987454159128544,0.06230168197129266,0.9870602522223137,0.13839289548380024,0.22400000000000003,0.6816917141881577,0.5313819103879801,0.6281935491461108,1.240867123511556,207,0.07252048668171489,0.1760925621225863,0.09312838752361066,0.23990133410056233,0.3278351753670555,0.09052205420447018,0.8,0.0,False,False,0.0,0.35534330864918834,0
A3,LATCHED,1835088000,3,207,0.9817853076269956,0.9817863898922013,0.10919688781695688,0.9817853076269956,0.15851282606667916,0.05600000000000001,0.6966406216841826,0.5318615496753472,0.6590257168420104,1.1584770577132368,208,0.025609185084575752,0.3171594860028439,0.0036033796663391135,0.373121066746743,0.2682576130525535,0.012249269446944811,0.4,0.0,False,False,0.0,0.34184680477900253,0
A3,LATCHED,1835088000,4,208,0.9903021296695076,0.9903022883354757,0.12454906135661245,0.9903021296695076,0.18979779321301574,0.0,0.7037752968922585,0.5330947081273165,0.6908668182707501,1.0964176505705616,220,0.035327949196708876,0.2558195485000431,0.028322939402788974,0.32284315049519935,0.28871836556470404,0.06896804684055563,0.0,0.0,False,False,0.0,0.3537917678785556,0
A3,LATCHED,1835088000,5,220,0.9853603378957863,0.9893405029790964,0.04390550704524309,0.9853603378957863,0.20800982495374334,0.41400000000000003,0.717330843531634,0.5366367295498273,0.7217801364436751,1.0364681554207171,220,0.06495946036095752,0.1971173481955921,0.09861453572999561,0.20783422017847356,0.3391725402242987,0.09230189531068261,0.2,0.4,False,False,0.0,0.37410355176361565,0
A3,LATCHED,1835088000,6,220,0.9801646171068096,0.9884025381755718,0.03810760145922852,0.9801646171068096,0.2263329912731047,0.456,0.7281593104077199,0.5391924763607566,0.7409173968202387,0.9994190529213438,220,0.05484479110525829,0.337407423140257,0.03757709245053823,0.3135512457226663,0.2565763701046557,4.307747662435499e-05,0.4,0.4,False,False,0.0,0.353229218092164,0
A3,LATCHED,1835088000,7,220,0.9824684291625568,0.9831908895640253,0.05743907283980252,0.9824684291625568,0.2476181352199412,0.35,0.7387355329617804,0.5408919074875295,0.7668256571382148,0.9548273697761498,220,0.04573818681013368,0.2474959672818329,0.0009136464583119911,0.26505796282729766,0.3559304663015557,0.08486377032086806,1.0,0.0,False,False,0.0,0.3704844954558689,0
A3,LATCHED,1835088000,8,220,0.9862593599690056,0.9862593752604739,0.14313914188199733,0.9862593599690056,0.27193664873982853,0.014000000000000002,0.7465661166001158,0.5460869870597074,0.7901430914243933,0.9257373903482277,222,0.09049593683192982,0.1930093684673543,0.07346550281092284,0.2641303902344406,0.34796050727941236,0.03093829437593999,0.2,0.0,False,False,0.0,0.36302043963905944,0
A3,LATCHED,1835088000,9,222,0.9897513401845387,0.9897720172966789,0.08577937994345415,0.9897513401845387,0.2802975501523161,0.2,0.763991039983268,0.545268217743597,0.8102822189178251,0.8808168428875716,212,0.018569750460938318,0.2784977510786932,0.09482730059985091,0.2613714848317707,0.295767183179356,0.05096652984939096,0.0,0.2,False,False,0.0,0.3648639294191165,0
