arm,seed,step,novelty_vector_count,h_n_latest,h_n_shape_latest,V,H_N,total_suppression,avg_wb,theta_capability,transfer_state,g,population,x_compute,x_bio_welfare,x_novelty_agency,x_institutional_capacity,x_transfer_comprehension,x_resilience,c_protective,c_suppressive,adapter_active,action_modified,adapter_score,shape_fallback_increase
R10,1835086237,0,200,0.9767893434239702,0.9861381883776432,0.03708235706817192,0.9767893434239702,0.4,0.6672793817776512,0.506284779716591,0.5297585164545943,1.4322182997527249,208,0.07855974645738725,0.2637602034748007,0.013819745501641698,0.349020178043028,0.19879258227297106,0.09604754425017134,0.0,0.4,False,False,0.0,2
R10,1835086237,1,208,0.983816916098112,0.9838298771878051,0.08944940425599815,0.983816916098112,0.126,0.6782400443004025,0.5128783752421011,0.5589117886608123,1.3529685160169045,211,0.08634793139174596,0.1697614404815391,0.13482867458752376,0.2659754935799861,0.210645619258387,0.13244084070081794,0.6,0.0,False,False,0.0,0
R10,1835086237,2,211,0.9875124941372423,0.9879624122996526,0.061247477311842095,0.9875124941372423,0.256,0.692348853138185,0.5213101651176122,0.5865037509571858,1.2838090187720645,209,0.11344635797020092,0.2460902540965247,0.009576981186390086,0.39548396860687923,0.21741570581227376,0.017986732327731438,0.4,0.2,False,False,0.0,0
R10,1835086237,3,209,0.9872385508657359,0.9901167361625217,0.046492114266413746,0.9872385508657359,0.326,0.6921494735112355,0.5253940382173862,0.6275037228421232,1.2096756559683526,206,0.06436726694568257,0.1420880945417802,0.0024413957188106363,0.4056668236162546,0.29825173490328016,0.08718468427419189,0.6,0.2,False,False,0.0,0
R10,1835086237,4,206,0.988503294570273,0.9885120683499685,0.09259309205364727,0.988503294570273,0.126,0.7023676871863314,0.5413383142265905,0.6598898732178525,1.1679729349284358,213,0.2151747240009208,0.19993766949865646,0.1225826141001324,0.16515044892302747,0.27568261329970817,0.021471930177554745,0.6,0.0,False,False,0.0,0
R10,1835086237,5,213,0.9896001126597921,0.9897147094634599,0.07214814621644065,0.9896001126597921,0.2,0.697861973842688,0.5563011527880589,0.6939008858960672,1.1487961818523724,216,0.21287192840997404,0.1397193101223189,0.000865635118539484,0.28413982322011905,0.3352331468813309,0.02717015624771768,0.0,0.2,False,False,0.0,0
R10,1835086237,6,216,0.9850943850928351,0.9870262736420792,0.049640608492044894,0.9850943850928351,0.326,0.7064739074619693,0.560877240410329,0.7094212627182975,1.1190963773453795,221,0.09238931577091375,0.21796085061776055,0.13428719604237294,0.2900506333288849,0.2245523270591849,0.04075967718088283,0.6,0.2,False,False,0.0,0
R10,1835086237,7,221,0.9867448114822641,0.9867456564236667,0.11120746592911876,0.9867448114822641,0.014000000000000002,0.7139782642221231,0.5593746296397106,0.7384791364464678,1.060912446027751,224,0.019265640623725634,0.20514441903920272,0.0003077253640125097,0.2540610842158407,0.4889017810395106,0.03231934971770784,0.2,0.0,False,False,0.0,0
R10,1835086237,8,224,0.9862658931550553,0.9863197817551672,0.07812667875414812,0.9862658931550553,0.21400000000000002,0.7214519157329412,0.5614756985791518,0.764631222801821,1.0178213236946712,232,0.06337250526783357,0.18670541983468747,0.247499474589656,0.18436972733155552,0.31185187002459686,0.0062010029516706465,0.2,0.2,False,False,0.0,0
R10,1835086237,9,232,0.9845161158424584,0.9845192164793474,0.10084062699175689,0.9845161158424584,0.126,0.7315111333889034,0.5701959106116979,0.7711573789751498,1.0107881442432047,234,0.1474249620187962,0.2150863240800819,0.1677969495304057,0.20866800229193244,0.21494639226755438,0.04607736981122927,0.6,0.0,False,False,0.0,0
R10,1835086237,10,234,0.9895768533898152,0.9895769194911576,0.1315131667188188,0.9895768533898152,0.0,0.7365564049693247,0.5858891537395522,0.7940416410776349,1.0017657276070127,234,0.24003798323048992,0.20564026161015675,0.059279587729318024,0.14458295597357845,0.3205223419644617,0.02993686949199528,0.0,0.0,False,False,0.0,0
R10,1835086237,11,234,0.9846696474837033,0.9846922089785085,0.08504416508614449,0.9846696474837033,0.22400000000000003,0.7520277051960459,0.5863199626522498,0.8146374769698714,0.957054026467011,233,0.059065832495941085,0.24112785027801617,0.05023777650377635,0.2668005511462742,0.3719171203208432,0.01085086925514909,0.8,0.0,False,False,0.0,0
R10,1835086237,12,233,0.9838979035297816,0.983897923281032,0.1410829034482033,0.9838979035297816,0.014000000000000002,0.7597049684122821,0.6025674051106962,0.8241818321400775,0.9623601517109258,237,0.2570430073882357,0.2738318493262181,0.04799053521210627,0.10316685083921143,0.25504051433596564,0.06292724289826279,0.2,0.0,False,False,0.0,0
R10,1835086237,13,237,0.9872920318619679,0.987327134781058,0.08154676848109016,0.9872920318619679,0.22400000000000003,0.7650181693572369,0.6068499960764656,0.8322892642649095,0.9530930681072225,236,0.11763701526630309,0.21488662650085572,0.045352888273566684,0.1839961242584014,0.2526280766941987,0.18549926900667435,0.8,0.0,False,False,0.0,0
R10,1835086237,14,236,0.9860013017393382,0.9872261461357076,0.05326950091469668,0.9860013017393382,0.41400000000000003,0.7681665938345179,0.6176903055593294,0.8339389724588417,0.9642310191065624,243,0.20228511608358726,0.2374525255396728,0.08412745421938402,0.2168394523954537,0.2243931731021161,0.034902278659786116,0.2,0.4,False,False,0.0,0
R10,1835086237,15,243,0.9857345003762512,0.9857410595375635,0.09488637213562985,0.9857345003762512,0.22400000000000003,0.7654390741429782,0.6190175376546718,0.8291077903949712,0.9753968061723244,249,0.09014684216636137,0.22964666184312413,0.09854809720892484,0.31864289051563666,0.19281357591006829,0.07020193235588483,0.8,0.0,False,False,0.0,0
R10,1835086237,16,249,0.9868206868949203,0.9875039661723027,0.05791776116450617,0.9868206868949203,0.4,0.7686524375851688,0.6380666607719382,0.8224984270786617,1.0092551362948032,249,0.33393473605809687,0.17013906901733586,0.048802170738176866,0.22001728070520485,0.1815070786159383,0.04559966486524729,0.0,0.4,False,False,0.0,0
R10,1835086237,17,249,0.9862610978604232,0.9873466133731886,0.054231721383984764,0.9862610978604232,0.4,0.7712074198340523,0.6401036146336773,0.8279131114844568,1.0025229419095751,256,0.11175358625420038,0.16938516308373358,0.02348919148264367,0.3188382128976703,0.2383226355683064,0.13821121071344575,0.0,0.4,False,False,0.0,0
R10,1835086237,18,256,0.9856712363589716,0.9879106467812178,0.048471918379386005,0.9856712363589716,0.42400000000000004,0.7747710258811378,0.6450945761179869,0.8163028217363976,1.0199965941837361,256,0.14995177769991938,0.20444630619511975,0.06527872689285756,0.3361223701919121,0.15590510700193233,0.08829571201825881,0.8,0.2,False,False,0.0,0
R10,1835086237,19,256,0.9893776046040477,0.9893776371289597,0.13715671128355247,0.9893776046040477,0.05600000000000001,0.7816197341919365,0.6548885949946087,0.8233423375730601,1.0176336591910304,257,0.21310934603151446,0.22488264989084358,0.04801851481829928,0.2532565767199244,0.24334899005151156,0.01738392248790677,0.4,0.0,False,False,0.0,0
R10,1835086237,20,257,0.970622780863243,0.9841833626926576,0.03410609570680914,0.970622780863243,0.526,0.792199711324398,0.6537486672001064,0.8328996100555105,0.9907942508716987,253,0.0825562744403507,0.24777151625798258,0.04751660780511978,0.35841754800431214,0.2594575311987821,0.004280522293452735,0.6,0.4,False,False,0.0,0
R10,1835086237,21,253,0.9900291233493494,0.9900430385902829,0.08893408875606283,0.9900291233493494,0.256,0.7902803189589498,0.6541100875102865,0.8496096490499594,0.9742047532998322,257,0.10061067087731827,0.1683539228699221,0.168692053217531,0.19260447821538607,0.30995521446842417,0.059783660351418355,0.4,0.2,False,False,0.0,0
R10,1835086237,22,257,0.9848527049956749,0.9868299949726177,0.0494541195399547,0.9848527049956749,0.456,0.7866884979703461,0.6604709754029018,0.8628582047109823,0.9729970053844861,262,0.17582990335161922,0.14963855306003682,0.07982658456977683,0.25126073776139707,0.2910476028300944,0.05239661842707573,0.4,0.4,False,False,0.0,0
R10,1835086237,23,262,0.9718080065693505,0.9863934603829461,0.03354399954660864,0.9718080065693505,0.526,0.7894820883531594,0.6582927084935996,0.876572384239884,0.951237535472228,259,0.07306602326053635,0.153596169919718,0.00037081945744994553,0.3075349271561953,0.4636591971068688,0.001772863099231621,0.6,0.4,False,False,0.0,0
R10,1835086237,24,259,0.9845361213000553,0.9871419478032221,0.04725947412827319,0.9845361213000553,0.456,0.7925614609854614,0.6535387590184775,0.88577320802531,0.9309274973789231,259,0.03950857436947387,0.250162052067916,0.1569283790075139,0.24126578734727316,0.28429031104707175,0.0278448961607514,0.4,0.4,False,False,0.0,0
R10,1835086237,25,259,0.9888678967735458,0.9895452157497203,0.05800393930237563,0.9888678967735458,0.4,0.7824097749116958,0.6699674155578056,0.8767195905685146,0.9766944102905579,267,0.3013199311281503,0.1531667925729307,0.031024171012004397,0.2673195821726667,0.1976185167286779,0.049551006385570105,0.0,0.4,False,False,0.0,0
R10,1835086237,26,267,0.98640725092649,0.9864092815895119,0.10422495739286863,0.98640725092649,0.2,0.7868778363882052,0.6772319800193884,0.87996023566556,0.9780636032092509,268,0.19703669049341468,0.18859200111327637,0.04656434279242911,0.23096957069557697,0.25456302076948484,0.08227437413581809,0.0,0.2,False,False,0.0,0
R10,1835086237,27,268,0.9822724102542243,0.9844697798273019,0.048595001651050074,0.9822724102542243,0.456,0.7901028994278467,0.6728954290404692,0.891964212099004,0.9548089756550454,268,0.05656310027562675,0.20112783991644412,0.08277668096816598,0.22064478624311476,0.3630870482109638,0.07580054438568465,0.4,0.4,False,False,0.0,0
R10,1835086237,28,268,0.9900061174670334,0.9900102133077652,0.09866909766722166,0.9900061174670334,0.22400000000000003,0.7880402245171766,0.6708630609475162,0.902436914210656,0.9433408503950533,277,0.08265504198838161,0.20565272197469645,0.1360522500039371,0.23870311004291445,0.29834561660776177,0.03859125938230858,0.8,0.0,False,False,0.0,0
R10,1835086237,29,277,0.9891407001743621,0.9891407046259028,0.15298545214093281,0.9891407001743621,0.0,0.7867539153901605,0.6696061262348849,0.9121932227895904,0.9330258239531186,276,0.09107772918430665,0.21510768917615675,0.1518740838049272,0.2110302009369626,0.3101364426601926,0.020773854237454387,0.0,0.0,False,False,0.0,0
