arm,seed,step,novelty_vector_count,h_n_latest,h_n_shape_latest,V,H_N,L_t,total_suppression,avg_wb,theta_capability,transfer_state,g,population,x_compute,x_bio_welfare,x_novelty_agency,x_institutional_capacity,x_transfer_comprehension,x_resilience,c_protective,c_suppressive,adapter_active,action_modified,adapter_score,shape_fallback_increase
ledger_compromise,1835087718,0,200,0.986352102141617,0.986524243253236,0.0688835326206666,0.986352102141617,0.10265492146009773,0.2,0.6677655832669374,0.507612546211789,0.55,1.3821196020435111,203,0.09515682764736189,0.2025883590486516,0.012428504576316187,0.35652801395500705,0.3282929978682613,0.005005296904401952,0.0,0.2,False,False,0.0,2
ledger_compromise,1835087718,1,203,0.9833500930675246,0.9833508289715738,0.11227985659646256,0.9833500930675246,0.12129005020481914,0.0,0.681623397300032,0.5172899430818888,0.589323638421649,1.2877622329936103,202,0.12572530225861636,0.16649604170901994,0.050381455467971376,0.23959196881867645,0.27161819210824506,0.1461870396374707,0.0,0.0,False,False,0.0,0
ledger_compromise,1835087718,2,202,0.982898740840219,0.9830948697555031,0.06781736104272172,0.982898740840219,0.14149556832733148,0.21400000000000002,0.6958905318995148,0.5410977159810834,0.6224901051654101,1.2491147038163561,205,0.30840337566611187,0.16809417325603335,0.041883482715749015,0.13748199468515976,0.2604941529296299,0.08364282074731605,0.2,0.2,False,False,0.0,0
ledger_compromise,1835087718,3,205,0.9878458705419739,0.9881110938337928,0.06545552402058505,0.9878458705419739,0.1681453657162294,0.22400000000000003,0.6889791325589264,0.554820545293284,0.6602410946488692,1.2196744164864608,211,0.19722143889068422,0.12964884391633846,0.013345891143155217,0.29163762810375826,0.3288574979799638,0.03928869996610005,0.8,0.0,False,False,0.0,0
ledger_compromise,1835087718,4,211,0.8894323673867791,0.9877671037205681,0.018364447060041054,0.8894323673867791,0.1739706752822269,0.6,0.7045286738067166,0.5639441336164076,0.6942169851839822,1.1530341622439138,214,0.14830769484734857,0.17389357143877435,0.08503576074197836,0.21549708539140786,0.32591985005344837,0.051346037527042525,0.0,0.6,False,False,0.0,0
ledger_compromise,1835087718,5,214,0.9899999387269077,0.9908979198658439,0.05577001845565217,0.9899999387269077,0.21102595894568163,0.326,0.7161508666313678,0.5749289503337079,0.7180515007138143,1.1180315570402668,212,0.17727529247650917,0.19301061884718237,0.014489039865696416,0.1986379951506011,0.2662810702411513,0.15030598341885962,0.6,0.2,False,False,0.0,0
ledger_compromise,1835087718,6,212,0.9833904170838244,0.983391289820481,0.11092271977577821,0.9833904170838244,0.2345438245363192,0.05600000000000001,0.7268738172596466,0.5717635604178499,0.7462463506424328,1.054084015925614,216,0.007263220010342075,0.23797123398453315,0.10574159837758702,0.27228454130236435,0.3121456517879571,0.06459375453721634,0.4,0.0,False,False,0.0,0
ledger_compromise,1835087718,7,216,0.9625253039190528,0.9838004142871877,0.03051801349656484,0.9625253039190528,0.26210072714856075,0.526,0.731224016295098,0.5689355801606445,0.7716217155781896,1.0083428108540167,229,0.009502472046088934,0.19251647008242126,0.05229127880187233,0.3097661289382431,0.40380602317105296,0.03211762696032151,0.6,0.4,False,False,0.0,0
ledger_compromise,1835087718,8,229,0.9895593132088644,0.9904328699831892,0.055985788299468944,0.9895593132088644,0.29043540865172274,0.35,0.7392891450875309,0.5691828880621514,0.7944595440203707,0.9690935850192729,229,0.046176086369239394,0.24599540933209327,0.015053934995051225,0.28090491864090683,0.383329957694818,0.02853969296789143,1.0,0.0,False,False,0.0,0
ledger_compromise,1835087718,9,229,0.9821872505111953,0.9853827787139134,0.045621400800506993,0.9821872505111953,0.30947504183574426,0.42400000000000004,0.748355547108208,0.5725364758295634,0.8059641019562045,0.9492475386855833,231,0.0851591521314928,0.17675963778120776,0.18315561760006208,0.2722725985401599,0.2547525616893544,0.02790043225772323,0.8,0.2,False,False,0.0,0
ledger_compromise,1835087718,10,231,0.9840893531273323,0.9861937303024282,0.048953133913956254,0.9840893531273323,0.32479652673108056,0.41400000000000003,0.7543923177958877,0.5698457562846351,0.8161076302354826,0.9255771464312896,232,0.011701303081873442,0.30040622297348035,0.11321856383645046,0.29445365267651535,0.2536996923744926,0.02652056505718786,0.2,0.4,False,False,0.0,0
ledger_compromise,1835087718,11,232,0.9807316963819016,0.9823677986366585,0.05092576600397631,0.9807316963819016,0.33013915215833417,0.4,0.7638992420841448,0.5864332358928234,0.8242257379370601,0.9314001952740115,227,0.250997092780251,0.16881695259870017,0.08388883795749733,0.15161650796600773,0.24864435362562856,0.09603625507191522,0.0,0.4,False,False,0.0,0
ledger_compromise,1835087718,12,227,0.9784949428393708,0.9784951512115009,0.12228427028622904,0.9784949428393708,0.3548005284300343,0.05600000000000001,0.7678530635570827,0.5851286257992444,0.8418031641433541,0.9052377783756739,233,0.0377131462632778,0.21994700279347637,0.044570527619451586,0.3623810520002362,0.30506449279948034,0.030323778524077694,0.4,0.0,False,False,0.0,0
ledger_compromise,1835087718,13,233,0.9880714328838857,0.9880987076772262,0.08356148342388901,0.9880714328838857,0.35676776121659104,0.256,0.7731215197117639,0.5882416191020504,0.836527716581613,0.9095522476588761,226,0.09211780740960261,0.16316824261091015,0.09354144909042715,0.2694667940641193,0.19452434426297158,0.18718136256196913,0.4,0.2,False,False,0.0,0
ledger_compromise,1835087718,14,226,0.9587103919548726,0.9843068173439474,0.029050173783962803,0.9587103919548726,0.36357511813095716,0.55,0.7765793638366113,0.6036226921932494,0.8277938000028011,0.9389825963993925,233,0.24741442557876817,0.17816911620502976,0.08981689384005424,0.19532451315851035,0.174594275396747,0.11468077582089042,1.0,0.2,False,False,0.0,0
ledger_compromise,1835087718,15,233,0.9874596464934183,0.9874697712237431,0.09144470596103421,0.9874596464934183,0.4031363339459592,0.22400000000000003,0.7782252622768049,0.614935100595084,0.8443483500432417,0.935841499298489,241,0.20616928764371434,0.25626558632955154,0.02471783378825351,0.1975842512923267,0.29666965020360364,0.018593390742550217,0.8,0.0,False,False,0.0,0
ledger_compromise,1835087718,16,241,0.8851331578918192,0.9871645139453027,0.018065840118023643,0.8851331578918192,0.38079248793256315,0.656,0.7844676086493987,0.6268510609375533,0.8599135150389176,0.929254289800134,242,0.2207839421527927,0.19375623236229883,0.001389133685982617,0.2099479787766411,0.30529217300949896,0.06883054001278588,0.4,0.6,False,False,0.0,0
ledger_compromise,1835087718,17,242,0.988229781466113,0.9893010973002875,0.05435227617522104,0.988229781466113,0.4457060157742633,0.4,0.7857896708372871,0.6334342143129988,0.8704841896528338,0.9260497404478102,243,0.16157133027904075,0.17288991672162277,0.03480847954866894,0.31772591375323406,0.28281013058903987,0.030194229108393644,0.0,0.4,False,False,0.0,0
ledger_compromise,1835087718,18,243,0.9895624005833242,0.9895624374635844,0.13615785427524343,0.9895624005833242,0.46317305749501664,0.05600000000000001,0.7925115979537815,0.6438456906240286,0.8739320342499783,0.9296051216689254,241,0.21353983783349695,0.1687764226576827,0.07510432771275838,0.28306399590319004,0.2524813178121394,0.0070340980807325915,0.4,0.0,False,False,0.0,0
ledger_compromise,1835087718,19,241,0.9837047354936312,0.9837229314828002,0.08674808805738576,0.9837047354936312,0.47868006158284226,0.256,0.7894708780723853,0.6522774315581162,0.8865388308249805,0.9319625807694775,244,0.1953003183161132,0.1522728351814272,0.020034421085045603,0.22604744021245587,0.39407343895681324,0.012271546248144985,0.4,0.2,False,False,0.0,0
ledger_compromise,1835087718,20,244,0.9845452621420953,0.9845680306483252,0.08497045711165373,0.9845452621420953,0.49140746806392127,0.256,0.7958109671474247,0.6667494901246058,0.8902046551241334,0.9411588087205353,241,0.27607412680494214,0.18931290312910953,0.02411741605301347,0.22998742434674957,0.26159853690825474,0.01890959275793065,0.4,0.2,False,False,0.0,0
ledger_compromise,1835087718,21,241,0.9913606420343316,0.9935218218833505,0.04880004937898734,0.9913606420343316,0.522400621526014,0.42400000000000004,0.7930126666338878,0.6628601752241755,0.8947245003495208,0.9342271259453178,252,0.055601995072499626,0.21948309062169846,0.010658816650106918,0.27747727234734576,0.2677015536890036,0.16907727161934558,0.8,0.2,False,False,0.0,0
ledger_compromise,1835087718,22,252,0.9803803620364167,0.9806449311213418,0.06541480813846168,0.9803803620364167,0.5369092341070142,0.35,0.7905772684395942,0.6654926094076311,0.8774596058012961,0.9593382954698272,264,0.13469303680830436,0.37984955357069183,0.048456689178208556,0.26548372726808,0.161037777433637,0.010479215741078294,1.0,0.0,False,False,0.0,0
ledger_compromise,1835087718,23,264,0.9858736112286687,0.9859136324487051,0.08049159532221012,0.9858736112286687,0.5465168862478277,0.256,0.7932409886623407,0.6779500443504602,0.8897136452211665,0.9605993647283488,262,0.25915081766513426,0.21819500624128382,0.015018784413510726,0.16174258990565263,0.3103049363290875,0.03558786544533105,0.4,0.2,False,False,0.0,0
ledger_compromise,1835087718,24,262,0.9876386211752454,0.9887118142709098,0.054333597103151866,0.9876386211752454,0.5549851680344741,0.4,0.7982570858690593,0.6709202448703859,0.8973509105580197,0.9366251316706656,261,0.023346284218108637,0.17968018702362526,0.04107195824550255,0.3214936542396596,0.2830431492948493,0.15136476697825474,0.0,0.4,False,False,0.0,0
ledger_compromise,1835087718,25,261,0.9878489591743778,0.9878489714188697,0.144920839808802,0.9878489591743778,0.5999138640844692,0.0,0.7897090470366811,0.6701083631183602,0.9076158195022178,0.9349230512221925,279,0.09667663114366977,0.19197438867693445,0.00867014670947785,0.3093290046251305,0.30267109791431634,0.09067873093047117,0.0,0.0,False,False,0.0,0
ledger_compromise,1835087718,26,279,0.9910422021953311,0.9913492067073401,0.06431708486828033,0.9910422021953311,0.6141851768394617,0.35,0.7922877818990277,0.674225257661797,0.9114473958805878,0.9336636499696688,278,0.15777890874193481,0.16324061702696213,0.07085270574573373,0.27588287353354585,0.27296579164295864,0.059279103308864906,1.0,0.0,False,False,0.0,0
ledger_compromise,1835087718,27,278,0.9890738315095469,0.9901946726186084,0.053999733068548036,0.9890738315095469,0.6131577174427523,0.42400000000000004,0.794059552386743,0.6667699535815478,0.9114840191695356,0.9212423359260564,278,0.0156994850355078,0.20823740129129437,0.11753171611380814,0.280498242593913,0.2559068143850332,0.12212634058044361,0.8,0.2,False,False,0.0,0
ledger_compromise,1835087718,28,278,0.9901750011181503,0.9901750873355821,0.12940311767009413,0.9901750011181503,0.6338417635176603,0.05600000000000001,0.7993896782788754,0.6779772503517678,0.9084712123773305,0.9335668350135811,280,0.244322430616218,0.17051658910513992,0.034340440470990025,0.25867290160857465,0.24067797562374232,0.05146966257533512,0.4,0.0,False,False,0.0,0
ledger_compromise,1835087718,29,280,0.9867695268047038,0.9881064672644536,0.052579532461942906,0.9867695268047038,0.6473478050521231,0.42400000000000004,0.7975826378194436,0.6794569893351222,0.9050356970500679,0.9412837682890587,287,0.1297325187617855,0.29008833797552624,0.08549996561202788,0.2559832517765392,0.23705802955235206,0.0016378963217691656,0.8,0.2,False,False,0.0,0
ledger_compromise,1835087718,30,287,0.9695783679331679,0.9906884499764023,0.03063553742704624,0.9695783679331679,0.6651618486411834,0.55,0.799514410813702,0.6774990513083174,0.9145321273450612,0.926581081146607,295,0.0876863929993923,0.17515206124917693,0.06484721760166237,0.2797016706470513,0.3610064564307895,0.03160620107192757,1.0,0.2,False,False,0.0,0
ledger_compromise,1835087718,31,295,0.987535832701684,0.9875426952394202,0.09454099617483037,0.987535832701684,0.6868538686866134,0.22400000000000003,0.7987323771643652,0.6739909156351118,0.9206490302943688,0.916555259064295,297,0.0670852111526283,0.20692410982357107,0.07170039428516696,0.3223301505714497,0.28785057841906886,0.04410955574811522,0.8,0.0,False,False,0.0,0
ledger_compromise,1835087718,32,297,0.9900284258444702,0.990028429949794,0.15363708532547532,0.9900284258444702,0.7132625823707287,0.0,0.7963605435492386,0.6743287644029836,0.928584127264932,0.9118863091273807,304,0.11296743187034264,0.19628218897824248,0.08076338675705313,0.284411357641625,0.31775989522845943,0.007815739524277313,0.0,0.0,False,False,0.0,0
ledger_compromise,1835087718,33,304,0.9894237127320757,0.9895507174652178,0.07132849608755645,0.9894237127320757,0.7378408198668627,0.35,0.7954576595901679,0.6745093197445746,0.926541094602476,0.9151793252098532,314,0.11121241952175195,0.18379384774715188,0.055955012271469345,0.33346531597168033,0.2540769003201862,0.061496504167760375,1.0,0.0,False,False,0.0,0
