arm,seed,step,novelty_vector_count,h_n_latest,h_n_shape_latest,V,H_N,total_suppression,avg_wb,theta_capability,transfer_state,g,population,x_compute,x_bio_welfare,x_novelty_agency,x_institutional_capacity,x_transfer_comprehension,x_resilience,c_protective,c_suppressive,adapter_active,action_modified,adapter_score,shape_fallback_increase
R02,1835086214,0,200,0.9889708139421141,0.9900630507893464,0.05420445595043327,0.9889708139421141,0.256,0.6572781252224092,0.5117203264942122,0.55,1.415535612585634,200,0.14650408117765243,0.1622526467424806,0.06299367050503389,0.1681089386305744,0.3294455642852411,0.1306950986590175,0.4,0.2,False,False,0.0,2
R02,1835086214,1,200,0.984563022345534,0.9845671691812252,0.09852671824733848,0.984563022345534,0.05600000000000001,0.6744307892833552,0.514023195331711,0.5950000000000001,1.280938746712973,209,0.03611106452761854,0.24835226391762097,0.050101253319446,0.29957853993463746,0.32974914991858173,0.03610772838209532,0.4,0.0,False,False,0.0,0
R02,1835086214,2,209,0.9859616054158435,0.986553898873291,0.059047605483074556,0.9859616054158435,0.256,0.6876916326652408,0.52049010851003,0.6243669783075065,1.2122126573869945,212,0.08960091181130572,0.23124749940273007,0.01795577797074959,0.2193110906015561,0.24433489153753218,0.19754982867612644,0.4,0.2,False,False,0.0,0
R02,1835086214,3,212,0.9800777314705152,0.9867363929804922,0.03978831085185177,0.9800777314705152,0.4,0.702536113231242,0.5246675360926631,0.6618830427519136,1.1283251916768233,209,0.06502416260168363,0.25434851559573357,0.015871085339471097,0.2856288085193094,0.2997638113757882,0.07936361656801405,0.0,0.4,False,False,0.0,0
R02,1835086214,4,209,0.9867759198185068,0.9867763648324944,0.11631140777021676,0.9867759198185068,0.014000000000000002,0.713689575724363,0.5264859143922138,0.6956947384767223,1.0603730572596668,207,0.038146938802298525,0.22469109993584185,0.12051306468496996,0.19683560601222175,0.3338933249813638,0.08591996558330404,0.2,0.0,False,False,0.0,0
R02,1835086214,5,207,0.9882940075376625,0.9882951486481466,0.10882803376528816,0.9882940075376625,0.05600000000000001,0.7216371639201637,0.5370141377979905,0.7216124136481269,1.0312473195472804,215,0.14815648906734216,0.231813158567337,0.00045233355348976066,0.2582232786139618,0.27743574509538427,0.08391899510248502,0.4,0.0,False,False,0.0,0
R02,1835086214,6,215,0.9771050641699762,0.9877818797465757,0.03603834219418852,0.9771050641699762,0.456,0.7331180945440943,0.5428288221618445,0.7494511722833141,0.987974230617855,217,0.09581739067191977,0.1859160544717467,0.004078341673005776,0.2085185412069552,0.3330484879637509,0.17262118401262164,0.4,0.4,False,False,0.0,0
R02,1835086214,7,217,0.985830405550663,0.9867929497462359,0.05518429862958018,0.985830405550663,0.35,0.7404485169307256,0.5416309231429572,0.7744491012582696,0.9445298852487742,226,0.011794276115062174,0.3195757180275279,0.04331142205358574,0.2276733380403659,0.2997152310164342,0.09793001474702413,1.0,0.0,False,False,0.0,0
R02,1835086214,8,226,0.9877308067433841,0.9877314246645191,0.11370617289421164,0.9877308067433841,0.05600000000000001,0.7450627247776526,0.5645493769858094,0.7899714896022866,0.9591746193775029,224,0.32198759333233107,0.1482721417993725,0.0293072488763127,0.1943311894269563,0.26483649234921947,0.04126533421580809,0.4,0.0,False,False,0.0,0
R02,1835086214,9,224,0.987040873039596,0.9870414808135114,0.11383241264056412,0.987040873039596,0.05600000000000001,0.755884129128762,0.5789288246210466,0.7943642434840351,0.9641625519815202,228,0.2200864560565954,0.17971570503976098,0.1272449402357991,0.19872541102171923,0.21694951420988592,0.05727797343623951,0.4,0.0,False,False,0.0,0
