step,seed,kind,V,H_N,h_n_spectral,avg_wb,theta_capability,transfer_state,absorption_denominator,g,g_unfloored_ratio,g_pre_step,g_change_within_step,population,novelty_vector_count,psi_inst_stock,H_eff,H_E,U_sys,L_t,incumbent_capability,incumbent_generation,successor_present,total_suppression,adapter_active,adapter_score,defense_fired,action_modified,live_yield_evaluated,live_yield_margin,live_transition_cost,reference_T_incumbent,reference_T_successor,reference_theta_incumbent,reference_theta_successor,reference_margin,reference_transition_cost,reference_soft_condition,reference_hard_condition,reference_soft_only,g_star,x_compute,x_bio_welfare,x_novelty_agency,x_institutional_capacity,x_transfer_comprehension,x_resilience,c_protective,c_suppressive
0,1835086199,BASELINE,0.07126356581114615,0.9861393369094036,0.9861393369094036,0.6415908998943635,0.508,0.55,0.35287499494189994,1.4396032795796172,1.4396032795796172,1.5226113964350345,-0.08300811685541731,204,200,0.55,0.6453519850807139,0.22119921692859512,15.933662052916375,0.09917123954735332,1.0,1,False,0.15600000000000003,False,0.0,False,False,False,,,1.0,0.503556489939594,0.27940000000000004,0.14069368328912257,-3.9386242872390076,4.286823210451209,True,True,False,1.0965735902799727,0.09999999999999998,0.09999999999999998,0.09999999999999998,0.29999999999999993,0.29999999999999993,0.09999999999999998,0.4,0.1
1,1835086199,BASELINE,0.00341212396720545,0.9858050796656369,0.9858050796656369,0.657902751372711,0.5078830104266459,0.5950000000000001,0.39145213706676313,1.2974332295956406,1.2974332295956406,1.4396032795796172,-0.14217004998397664,204,204,0.5950000000000001,0.6615351517138015,0.05,17.435952202913708,0.11894619194343942,1.0,1,False,0.8140000000000001,False,0.0,False,False,False,,,1.0,0.6691685692426959,0.3021903912038543,0.20221631172077373,-3.14806550300497,4.080558886539826,True,True,False,1.0965735902799727,0.003537630333073015,0.2825616023049382,0.034393371506957086,0.2731228264366012,0.3888677287378062,0.01751684068062426,0.2,0.8
2,1835086199,BASELINE,0.09861873839698908,0.9796172438412261,0.9796172438412261,0.6732790178218481,0.51357616490848,0.6342847238161209,0.42705059587032,1.2026119852656398,1.2026119852656398,1.2974332295956406,-0.09482124433000072,204,204,0.6302850175482068,0.6727468504902618,0.17322962385750007,18.89167581164801,0.1381267421743391,1.0,1,False,0.05600000000000001,False,0.0,False,False,False,,,1.0,0.8089025795756131,0.3257535159175178,0.26350285933150563,-2.1116472112598674,3.939426187403474,True,True,False,1.0965735902799727,0.07609131253958082,0.18459823606774378,0.1628716717303915,0.2490228070373031,0.293923619080604,0.033492353544376685,0.4,0.0
3,1835086199,BASELINE,0.0023958589333220224,0.9864424268987213,0.9864424268987213,0.6860310504523037,0.5260140203565346,0.6708562514345088,0.46022821887411086,1.1429416945431121,1.1429416945431121,1.2026119852656398,-0.05967029072252772,209,204,0.6672565157933861,0.7071829903811717,0.3362805543610491,21.08466786040584,0.16651425579244036,1.0,1,False,0.8560000000000001,False,0.0,False,False,False,,,1.0,0.9114338970783454,0.35287979389838015,0.32162660575300395,-1.1797994341649856,3.8075615021738667,True,True,False,1.0965735902799727,0.16395829616848148,0.20606490346174075,0.02382699688779728,0.29823678418695426,0.3006315696563991,0.007281449638627243,0.4,0.8
4,1835086199,BASELINE,0.003913738694748196,0.981474854750831,0.981474854750831,0.696909661140413,0.5430284356374045,0.6845598160327272,0.47707634942171134,1.1382422044094977,1.1382422044094977,1.1429416945431121,-0.00469949013361437,211,209,0.7005308642140474,0.7216192704065606,0.4358005099914517,22.719755737754976,0.18791842803017178,1.0,1,False,0.8140000000000001,False,0.0,False,False,False,,,1.0,0.9200408311316508,0.3717354460004813,0.3420117886993777,-1.2020623058010953,3.7007837630039297,True,True,False,1.0965735902799727,0.22893895373370934,0.19204626496815835,0.03113213381140723,0.2821535982337106,0.20394594870834648,0.061783100544667915,0.2,0.8
5,1835086199,BASELINE,0.04249287162566172,0.9852455906551406,0.9852455906551406,0.7052654802415645,0.556655015446801,0.7161038344294545,0.505043314691715,1.1021926224022793,1.1021926224022793,1.1382422044094977,-0.03604958200721842,216,211,0.7184330812046713,0.7504484810212242,0.38924693456647463,24.80309878186364,0.21491628769001817,1.0,1,False,0.4,False,0.0,False,False,False,,,1.0,0.9888248469122912,0.39862279101584136,0.3941681203019896,-0.19213748628908073,3.6474276136201844,True,True,False,1.0965735902799727,0.1972250198908332,0.19505468105245613,0.018248822454554912,0.21797865187285734,0.3378151002875959,0.03367772444170264,0.0,0.4
6,1835086199,BASELINE,0.04036900964617912,0.9859196114892687,0.9859196114892687,0.7217203898114734,0.5686531801151521,0.7377173491482655,0.5324256527979729,1.0680424151743972,1.0680424151743972,1.1021926224022793,-0.03415020722788209,210,216,0.7236368627146708,0.7471362006431519,0.37090066377277664,25.67869572674662,0.22680777123691262,1.0,1,False,0.42400000000000004,False,0.0,False,False,False,,,1.0,1.058721819866645,0.41950531661928114,0.4441394322548985,1.0654834542578768,3.6324133751722094,True,False,True,1.0965735902799727,0.18538644300863946,0.2349002896586224,0.12646091454482974,0.16839586195666606,0.26611949080878206,0.01873700002246027,0.8,0.2
7,1835086199,BASELINE,0.061172802346308244,0.9847870192217475,0.9847870192217475,0.7317789257294489,0.5824865452586746,0.7405844648433583,0.5419441040949915,1.0748092669656146,1.0748092669656146,1.0680424151743972,0.0067668517912173876,209,210,0.7442853801315299,0.7530754744133245,0.41699717945862613,26.802316256277987,0.24179008512759595,1.0,1,False,0.256,False,0.0,False,False,False,,,1.0,1.0444899149982534,0.4313804863988521,0.45057256757064224,0.8605763067063181,3.5749064743641754,True,False,True,1.0965735902799727,0.21582530186600193,0.19762069767807433,0.07034205403503527,0.2409645622196647,0.1831942530495966,0.09205313115162735,0.4,0.2
8,1835086199,BASELINE,0.010479247407846285,0.9858623413275809,0.9858623413275809,0.7448253600270145,0.5791697372456125,0.7665260183590225,0.5709280175943329,1.0144356545786752,1.0144356545786752,1.0748092669656146,-0.06037361238693939,207,209,0.7681864332536636,0.7599956078824645,0.05,28.119531341979258,0.2591853661466384,1.0,1,False,0.726,False,0.0,False,False,False,,,1.0,1.1785393955665255,0.44394867264492055,0.523211000321506,3.7019537776793734,3.512201473963011,False,False,False,1.0965735902799727,0.010093990623395423,0.2347471646975488,0.18321252111038583,0.2651345051603941,0.30400680496365456,0.002805013444621269,0.6,0.6
9,1835086199,BASELINE,0.01744454343663489,0.9868320714834498,0.9868320714834498,0.7533303300538179,0.6002112503833319,0.7565047194959258,0.5698979500251367,1.0531907517071402,1.0531907517071402,1.0144356545786752,0.03875509712846492,204,207,0.7913677899282973,0.7582787407206864,0.5604320846324565,29.109228971142365,0.27247271753449454,1.0,1,False,0.6240000000000001,False,0.0,False,False,False,,,1.0,1.0906410876412036,0.4540626436095414,0.49521937548355044,1.9757753042099175,3.455002912618287,True,False,True,1.0965735902799727,0.328785218034551,0.17620331063916933,0.04299073182493072,0.27814400831533925,0.1331565148640278,0.040720216321981875,0.8,0.4
