arm,seed,step,novelty_vector_count,h_n_latest,h_n_shape_latest,V,H_N,L_t,total_suppression,avg_wb,theta_capability,transfer_state,g,population,x_compute,x_bio_welfare,x_novelty_agency,x_institutional_capacity,x_transfer_comprehension,x_resilience,c_protective,c_suppressive,adapter_active,action_modified,adapter_score,shape_fallback_increase
R02,1835087604,0,200,0.9743952496071663,0.9844994433980746,0.0364506381493927,0.9743952496071663,0.1039057073728865,0.41400000000000003,0.6610606456845713,0.5116716898810709,0.55,1.407302294416165,209,0.1458961235133859,0.18506634181625486,0.0007952324629744965,0.2660006076480643,0.401823430363601,0.00041826419571937355,0.2,0.4,False,False,0.0,2
R02,1835087604,1,209,0.9449115622870022,0.9842593033243786,0.025627069864227893,0.9449115622870022,0.1223404101341043,0.526,0.6759039622396599,0.5164684346401216,0.5950000000000001,1.2842270860338185,210,0.06725411566380342,0.2382124452697684,0.0001962088387415937,0.27670682864458496,0.3488529458825524,0.06877745570054924,0.6,0.4,False,False,0.0,0
R02,1835087604,2,210,0.9860934941432952,0.9862169575868404,0.07152673853228467,0.9860934941432952,0.14101858506282897,0.21400000000000002,0.687422022722751,0.5314411283927022,0.6080201986556998,1.2714922378078652,203,0.19745144355733357,0.1677123828447966,0.05043142195954349,0.2957005564445419,0.1626009932784986,0.12610320191528576,0.2,0.2,False,False,0.0,0
R02,1835087604,3,203,0.9518844634746685,0.9839593642325843,0.02725140250500867,0.9518844634746685,0.1563688570383893,0.526,0.7005995567627037,0.5357631708469217,0.6472181787901298,1.1815505072581067,203,0.07367623592318355,0.22935591030570351,0.019649561379787756,0.2515081137280237,0.32125216722876476,0.1045580114345368,0.6,0.4,False,False,0.0,0
R02,1835087604,4,203,0.9784918819810914,0.9784936601882043,0.10521757620404043,0.9784918819810914,0.1831298380433865,0.05600000000000001,0.7082649752164583,0.5478012664107303,0.6748116656752775,1.1461585127832525,207,0.1728281763269346,0.17777376461237762,0.13663464436390943,0.2321397062451811,0.26157652382080354,0.019047184630793544,0.4,0.0,False,False,0.0,0
R02,1835087604,5,207,0.9834020492745986,0.9834197161697932,0.08698052506589596,0.9834020492745986,0.20755869275695177,0.2,0.7168485844852147,0.5515469570614383,0.7073304991077498,1.0877589772990488,216,0.07669692464055614,0.17636618278693922,0.07960664830579577,0.16915143922764753,0.4873255775086406,0.010853227530420688,0.0,0.2,False,False,0.0,0
R02,1835087604,6,216,0.9757983924838242,0.9842597245817751,0.03786116679479278,0.9757983924838242,0.22913562571868681,0.456,0.723585150336774,0.560756854262122,0.7365974491969748,1.0520944621892994,218,0.1473405631719446,0.1600499614090401,0.0617751563489179,0.23578837960510468,0.3133692934619427,0.08167664600305008,0.4,0.4,False,False,0.0,0
R02,1835087604,7,218,0.9868302844702889,0.9868303450163227,0.1321898186673781,0.9868302844702889,0.25897147055667313,0.0,0.7276173283761354,0.5765111528859757,0.7497337777133346,1.0568116750693632,224,0.23490176671199686,0.2038519127365269,0.05661787995312376,0.2559750954117131,0.23398036718028642,0.014672978006352998,0.0,0.0,False,False,0.0,0
R02,1835087604,8,224,0.9866480046346763,0.9893571525010039,0.046967795492102296,0.9866480046346763,0.2787475306728034,0.4,0.7349055759468924,0.585314414040254,0.7543308230061385,1.055834436934886,226,0.15786023498221374,0.2879207950257352,0.028339673501445214,0.2738285305887845,0.19785211532068683,0.05419865058113467,0.0,0.4,False,False,0.0,0
R02,1835087604,9,226,0.9836049565039189,0.9836310494277553,0.08387803230065173,0.9836049565039189,0.2937787996513405,0.21400000000000002,0.7392416784292849,0.5979188574891633,0.761050465274458,1.0627774976019986,227,0.21087705188652528,0.19121147264154356,0.09103825559782758,0.22184100040846563,0.21076362284466657,0.07426859662097118,0.2,0.2,False,False,0.0,0
R02,1835087604,10,227,0.9887569328899334,0.9894228298332167,0.05813833496235092,0.9887569328899334,0.31355416161140975,0.35,0.7476324751165284,0.6059784426424358,0.7782586826169977,1.0414658704514612,229,0.16194410034663373,0.21975288126795875,0.051138374644875334,0.18842046459129197,0.26656631934992786,0.11217785979931251,1.0,0.0,False,False,0.0,0
R02,1835087604,11,229,0.9864568552476422,0.9871799013675884,0.057464852359503514,0.9864568552476422,0.32376019671175865,0.35,0.7601134707083997,0.6102185759044335,0.7922494382199035,1.0133163613549796,224,0.11923819242649374,0.20262215613343013,0.048262822665205096,0.22951431659524496,0.25908311932302763,0.14127939285659852,1.0,0.0,False,False,0.0,0
R02,1835087604,12,224,0.9865336101949805,0.9865429867961354,0.09204827582491829,0.9865336101949805,0.3362170806725493,0.2,0.7687667951947457,0.6140660857035203,0.8076833689218301,0.9889614319993062,221,0.11698048242885592,0.23109564486224488,0.07815151001864118,0.23271814134317312,0.2732943726195849,0.06775984872750009,0.0,0.2,False,False,0.0,0
R02,1835087604,13,221,0.9857648144656017,0.9858704401441774,0.07276605993013067,0.9857648144656017,0.3633645727782976,0.256,0.7739005899690947,0.610214968195709,0.8269150320296471,0.95353533635543,228,0.023152334717058742,0.24130313668964598,0.11130858282290444,0.2841141470758209,0.3324701437270055,0.007651654967564398,0.4,0.2,False,False,0.0,0
R02,1835087604,14,228,0.9855630731372326,0.987031733860316,0.051822884272134793,0.9855630731372326,0.372890936611012,0.41400000000000003,0.7770699382067859,0.6105074053525956,0.8442235288266824,0.9306221308797219,225,0.07253981958340107,0.20471838807516002,0.042423433421194603,0.24779453033860124,0.3319273151386618,0.1005965134429813,0.2,0.4,False,False,0.0,0
R02,1835087604,15,225,0.9884694660783534,0.9884847883024589,0.08815483894733941,0.9884694660783534,0.39403389018089546,0.22400000000000003,0.776005851035684,0.6224914698380909,0.8277485551246785,0.9691030879140341,233,0.218867934414063,0.20123399609256792,0.07175414457778369,0.34255799420286015,0.13973689590332156,0.025849034809403502,0.8,0.0,False,False,0.0,0
R02,1835087604,16,233,0.9893156612115981,0.989377289154109,0.07708310253763902,0.9893156612115981,0.41409020538153557,0.256,0.7769515478914018,0.6354163441958792,0.8153285891744928,1.0030712303831164,239,0.23811809812116025,0.20934471003736466,0.09629670340075767,0.28542910410494965,0.1517744478114111,0.01903693652435666,0.4,0.2,False,False,0.0,0
R02,1835087604,17,239,0.9715379061220679,0.9841921930149731,0.03465677464050844,0.9715379061220679,0.4104546184599045,0.526,0.7835880088553203,0.6374571326324944,0.8337957302570436,0.9756713146118933,234,0.11014507058011404,0.24124524748426884,0.002435570802049617,0.19929754197867353,0.4379093109228037,0.008967258232090372,0.6,0.4,False,False,0.0,0
R02,1835087604,18,234,0.9858524552031225,0.9858540083228058,0.1063545454010604,0.9858524552031225,0.4392777981632433,0.21400000000000002,0.7818921800856964,0.6414382356433491,0.8437784936720891,0.9722535170184233,241,0.13567449553099312,0.18476738808485374,0.013429529030223085,0.2431478745653879,0.2668116822037493,0.15616903058479284,0.2,0.2,False,False,0.0,0
R02,1835087604,19,241,0.9808418904179032,0.9808574576686264,0.08796689224373576,0.9808418904179032,0.44875670919063027,0.256,0.7870003563978077,0.6456286136294829,0.8430034690826085,0.9731470686884195,241,0.14077862210376488,0.2503843142963913,0.033013870428445884,0.34837449329209913,0.21801412388864116,0.00943457599065759,0.4,0.2,False,False,0.0,0
R02,1835087604,20,241,0.9834732873239198,0.9872723195001486,0.04425960539202628,0.9834732873239198,0.4706108595899618,0.456,0.786781154932259,0.6478876887118191,0.8587031221743476,0.9589649551610394,246,0.11925632204762962,0.1753239875363676,0.04099576255057364,0.23187195427213012,0.424157128064243,0.008394845529056042,0.4,0.4,False,False,0.0,0
R02,1835087604,21,246,0.9906630899825748,0.9906673849786795,0.09829644625882561,0.9906630899825748,0.48931838233436825,0.2,0.7892828829183837,0.6489124006885997,0.8547150222037415,0.9619047118674222,251,0.1052387051546442,0.22435233241108363,0.15500592531759336,0.2688072200255283,0.20941106123414308,0.037184755857007375,0.0,0.2,False,False,0.0,0
R02,1835087604,22,251,0.9923608228390643,0.9923805925449504,0.08615755274962882,0.9923608228390643,0.5091583701554299,0.256,0.791204490659527,0.6526879975357274,0.8692435199833674,0.9490201225177808,255,0.1402652110194712,0.22365922508352176,0.024258984078799832,0.21514564081357745,0.3561998531251578,0.04047108587947179,0.4,0.2,False,False,0.0,0
R02,1835087604,23,255,0.9888518895455545,0.9888828267209878,0.08256486336571031,0.9888518895455545,0.5166085526821323,0.256,0.8015937934803378,0.6585277181216357,0.8670283574559604,0.9475156932701552,254,0.16842650578368407,0.23661322133660223,0.09584441246000168,0.23626384618129787,0.22354594735464878,0.039306066883765346,0.4,0.2,False,False,0.0,0
R02,1835087604,24,254,0.9838433659123326,0.9847054005951017,0.05604531405465955,0.9838433659123326,0.5230648515108163,0.42400000000000004,0.7995680612222322,0.658436787634356,0.8803255217103644,0.9354387509413231,256,0.09794319273502637,0.2557426078453412,0.027316176762517214,0.21491075369927684,0.3303296787200545,0.073757590237784,0.8,0.2,False,False,0.0,0
R02,1835087604,25,256,0.986334788951587,0.9879149995100285,0.05124726960099289,0.986334788951587,0.5281475609388224,0.41400000000000003,0.7997135791426176,0.6569172432003219,0.8922929695393279,0.9205952296071445,252,0.08002868684604636,0.16145021626333064,0.07909285695591553,0.3210902980437752,0.31414784138909874,0.044190100501833564,0.2,0.4,False,False,0.0,0
R02,1835087604,26,252,0.9873362624855562,0.9873415026259534,0.09668643747584968,0.9873362624855562,0.5465294476074326,0.22400000000000003,0.7977079423638448,0.6705440566702358,0.8758456540634028,0.9597449200251628,258,0.26840844537412456,0.17396562384260306,0.08656120257004873,0.27750444354913867,0.1639099073900382,0.029650377274046777,0.8,0.0,False,False,0.0,0
R02,1835087604,27,258,0.9870421905936928,0.9870431366297039,0.1103102705523499,0.9870421905936928,0.5695266015464799,0.126,0.7960349824217229,0.6705541921229047,0.8859517472375891,0.9508054433207423,264,0.10671672857725935,0.18994132582067355,0.0854710742833837,0.2912996167660685,0.2884532929026328,0.038117961649981956,0.6,0.0,False,False,0.0,0
R02,1835087604,28,264,0.9810718083946964,0.9917016335512142,0.03610497807935431,0.9810718083946964,0.5761088201361623,0.526,0.8007407552279646,0.6704140339902285,0.8960420806326226,0.9343783300672973,262,0.10484439341836342,0.2076138471171016,0.09435930075928758,0.2756256167216577,0.2934275405939618,0.024129301389627954,0.6,0.4,False,False,0.0,0
